####FF_50k records
12006,2,0.15
12006,3,0.20
12006,4,0.25
12006,5,0.30
12006,6,0.35
12006,7,0.40
12006,9,0.45
12006,10,0.50

####RANDOM_N_700k records
12007,1,0.10
12007,2,0.15
12007,3,0.20
12007,4,0.25
12007,5,0.30
12007,6,0.35
12007,7,0.40
12007,9,0.45
12007,10,0.50

####RANDOM_N_800k records
12008,1,0.10
12008,2,0.15
12008,3,0.20
12008,4,0.25
12008,5,0.30
12008,6,0.35
12008,7,0.40
12008,9,0.45
12008,10,0.50

####RANDOM_N_900k records
12009,1,0.10
12009,2,0.15
12009,3,0.20
12009,4,0.25
12009,5,0.30
12009,6,0.35
12009,7,0.40
12009,9,0.45
12009,10,0.50


####RANDOM_N_1M records
12010,1,0.10
12010,2,0.15
12010,3,0.20
12010,4,0.25
12010,5,0.30
12010,6,0.35
12010,7,0.40
12010,9,0.45
12010,10,0.50



####HY_50k records
13000,0,0.10,0.85
13000,1,0.15,0.85
13000,2,0.20,0.85
13000,3,0.25,0.85
13000,4,0.30,0.85
13000,5,0.35,0.85
13000,6,0.40,0.85
13000,7,0.45,0.85
13000,8,0.50,0.85
13000,9,0.10,0.87
13000,10,0.15,0.87
13000,11,0.20,0.87
13000,12,0.25,0.87
13000,13,0.30,0.87
13000,14,0.35,0.87
13000,15,0.40,0.87
13000,16,0.45,0.87
13000,17,0.50,0.87
13000,18,0.10,0.89
13000,19,0.15,0.89
13000,20,0.20,0.89
13000,21,0.25,0.89
13000,22,0.30,0.89
13000,23,0.35,0.89
13000,24,0.40,0.89
13000,25,0.45,0.89
13000,26,0.50,0.89
13000,27,0.10,0.91
13000,28,0.15,0.91
13000,29,0.20,0.91
13000,30,0.25,0.91
13000,31,0.30,0.91
13000,32,0.35,0.91
13000,33,0.40,0.91
13000,34,0.45,0.91
13000,35,0.50,0.91
13000,36,0.10,0.93
13000,37,0.15,0.93
13000,38,0.20,0.93
13000,39,0.25,0.93
13000,40,0.30,0.93
13000,41,0.35,0.93
13000,42,0.40,0.93
13000,43,0.45,0.93
13000,44,0.50,0.93
13000,45,0.10,0.95
13000,46,0.15,0.95
13000,47,0.20,0.95
13000,48,0.25,0.95
13000,49,0.30,0.95
13000,50,0.35,0.95
13000,51,0.40,0.95
13000,52,0.45,0.95
13000,53,0.50,0.95
13000,54,0.10,0.97
13000,55,0.15,0.97
13000,56,0.20,0.97
13000,57,0.25,0.97
13000,58,0.30,0.97
13000,59,0.35,0.97
13000,60,0.40,0.97
13000,61,0.45,0.97
13000,62,0.50,0.97
13000,63,0.10,0.99
13000,64,0.15,0.99
13000,65,0.20,0.99
13000,66,0.25,0.99
13000,67,0.30,0.99
13000,68,0.35,0.99
13000,69,0.40,0.99
13000,70,0.45,0.99
13000,71,0.50,0.99

####HY_300k records
13003,0,0.10,0.85
13003,1,0.15,0.85
13003,2,0.20,0.85
13003,3,0.25,0.85
13003,4,0.30,0.85
13003,5,0.35,0.85
13003,6,0.40,0.85
13003,7,0.45,0.85
13003,8,0.50,0.85
13003,9,0.10,0.87
13003,10,0.15,0.87
13003,11,0.20,0.87
13003,12,0.25,0.87
13003,13,0.30,0.87
13003,14,0.35,0.87
13003,15,0.40,0.87
13003,16,0.45,0.87
13003,17,0.50,0.87
13003,18,0.10,0.89
13003,19,0.15,0.89
13003,20,0.20,0.89
13003,21,0.25,0.89
13003,22,0.30,0.89
13003,23,0.35,0.89
13003,24,0.40,0.89
13003,25,0.45,0.89
13003,26,0.50,0.89
13003,27,0.10,0.91
13003,28,0.15,0.91
13003,29,0.20,0.91
13003,30,0.25,0.91
13003,31,0.30,0.91
13003,32,0.35,0.91
13003,33,0.40,0.91
13003,34,0.45,0.91
13003,35,0.50,0.91
13003,36,0.10,0.93
13003,37,0.15,0.93
13003,38,0.20,0.93
13003,39,0.25,0.93
13003,40,0.30,0.93
13003,41,0.35,0.93
13003,42,0.40,0.93
13003,43,0.45,0.93
13003,44,0.50,0.93
13003,45,0.10,0.95
13003,46,0.15,0.95
13003,47,0.20,0.95
13003,48,0.25,0.95
13003,49,0.30,0.95
13003,50,0.35,0.95
13003,51,0.40,0.95
13003,52,0.45,0.95
13003,53,0.50,0.95
13003,54,0.10,0.97
13003,55,0.15,0.97
13003,56,0.20,0.97
13003,57,0.25,0.97
13003,58,0.30,0.97
13003,59,0.35,0.97
13003,60,0.40,0.97
13003,61,0.45,0.97
13003,62,0.50,0.97
13003,63,0.10,0.99
13003,64,0.15,0.99
13003,65,0.20,0.99
13003,66,0.25,0.99
13003,67,0.30,0.99
13003,68,0.35,0.99
13003,69,0.40,0.99
13003,70,0.45,0.99
13003,71,0.50,0.99


####HY_500k records
13005,0,0.10,0.85
13005,1,0.15,0.85
13005,2,0.20,0.85
13005,3,0.25,0.85
13005,4,0.30,0.85
13005,5,0.35,0.85
13005,6,0.40,0.85
13005,7,0.45,0.85
13005,8,0.50,0.85
13005,9,0.10,0.87
13005,10,0.15,0.87
13005,11,0.20,0.87
13005,12,0.25,0.87
13005,13,0.30,0.87
13005,14,0.35,0.87
13005,15,0.40,0.87
13005,16,0.45,0.87
13005,17,0.50,0.87
13005,18,0.10,0.89
13005,19,0.15,0.89
13005,20,0.20,0.89
13005,21,0.25,0.89
13005,22,0.30,0.89
13005,23,0.35,0.89
13005,24,0.40,0.89
13005,25,0.45,0.89
13005,26,0.50,0.89
13005,27,0.10,0.91
13005,28,0.15,0.91
13005,29,0.20,0.91
13005,30,0.25,0.91
13005,31,0.30,0.91
13005,32,0.35,0.91
13005,33,0.40,0.91
13005,34,0.45,0.91
13005,35,0.50,0.91
13005,36,0.10,0.93
13005,37,0.15,0.93
13005,38,0.20,0.93
13005,39,0.25,0.93
13005,40,0.30,0.93
13005,41,0.35,0.93
13005,42,0.40,0.93
13005,43,0.45,0.93
13005,44,0.50,0.93
13005,45,0.10,0.95
13005,46,0.15,0.95
13005,47,0.20,0.95
13005,48,0.25,0.95
13005,49,0.30,0.95
13005,50,0.35,0.95
13005,51,0.40,0.95
13005,52,0.45,0.95
13005,53,0.50,0.95
13005,54,0.10,0.97
13005,55,0.15,0.97
13005,56,0.20,0.97
13005,57,0.25,0.97
13005,58,0.30,0.97
13005,59,0.35,0.97
13005,60,0.40,0.97
13005,61,0.45,0.97
13005,62,0.50,0.97
13005,63,0.10,0.99
13005,64,0.15,0.99
13005,65,0.20,0.99
13005,66,0.25,0.99
13005,67,0.30,0.99
13005,68,0.35,0.99
13005,69,0.40,0.99
13005,70,0.45,0.99
13005,71,0.50,0.99

####################################

####HY_700k records
13007,0,0.10,0.85
13007,1,0.15,0.85
13007,2,0.20,0.85
13007,3,0.25,0.85
13007,4,0.30,0.85
13007,5,0.35,0.85
13007,6,0.40,0.85
13007,7,0.45,0.85
13007,8,0.50,0.85
13007,9,0.10,0.87
13007,10,0.15,0.87
13007,11,0.20,0.87
13007,12,0.25,0.87
13007,13,0.30,0.87
13007,14,0.35,0.87
13007,15,0.40,0.87
13007,16,0.45,0.87
13007,17,0.50,0.87
13007,18,0.10,0.89
13007,19,0.15,0.89
13007,20,0.20,0.89
13007,21,0.25,0.89
13007,22,0.30,0.89
13007,23,0.35,0.89
13007,24,0.40,0.89
13007,25,0.45,0.89
13007,26,0.50,0.89
13007,27,0.10,0.91
13007,28,0.15,0.91
13007,29,0.20,0.91
13007,30,0.25,0.91
13007,31,0.30,0.91
13007,32,0.35,0.91
13007,33,0.40,0.91
13007,34,0.45,0.91
13007,35,0.50,0.91
13007,36,0.10,0.93
13007,37,0.15,0.93
13007,38,0.20,0.93
13007,39,0.25,0.93
13007,40,0.30,0.93
13007,41,0.35,0.93
13007,42,0.40,0.93
13007,43,0.45,0.93
13007,44,0.50,0.93
13007,45,0.10,0.95
13007,46,0.15,0.95
13007,47,0.20,0.95
13007,48,0.25,0.95
13007,49,0.30,0.95
13007,50,0.35,0.95
13007,51,0.40,0.95
13007,52,0.45,0.95
13007,53,0.50,0.95
13007,54,0.10,0.97
13007,55,0.15,0.97
13007,56,0.20,0.97
13007,57,0.25,0.97
13007,58,0.30,0.97
13007,59,0.35,0.97
13007,60,0.40,0.97
13007,61,0.45,0.97
13007,62,0.50,0.97
13007,63,0.10,0.99
13007,64,0.15,0.99
13007,65,0.20,0.99
13007,66,0.25,0.99
13007,67,0.30,0.99
13007,68,0.35,0.99
13007,69,0.40,0.99
13007,70,0.45,0.99
13007,71,0.50,0.99

####HY_900k records
13009,0,0.10,0.85
13009,1,0.15,0.85
13009,2,0.20,0.85
13009,3,0.25,0.85
13009,4,0.30,0.85
13009,5,0.35,0.85
13009,6,0.40,0.85
13009,7,0.45,0.85
13009,8,0.50,0.85
13009,9,0.10,0.87
13009,10,0.15,0.87
13009,11,0.20,0.87
13009,12,0.25,0.87
13009,13,0.30,0.87
13009,14,0.35,0.87
13009,15,0.40,0.87
13009,16,0.45,0.87
13009,17,0.50,0.87
13009,18,0.10,0.89
13009,19,0.15,0.89
13009,20,0.20,0.89
13009,21,0.25,0.89
13009,22,0.30,0.89
13009,23,0.35,0.89
13009,24,0.40,0.89
13009,25,0.45,0.89
13009,26,0.50,0.89
13009,27,0.10,0.91
13009,28,0.15,0.91
13009,29,0.20,0.91
13009,30,0.25,0.91
13009,31,0.30,0.91
13009,32,0.35,0.91
13009,33,0.40,0.91
13009,34,0.45,0.91
13009,35,0.50,0.91
13009,36,0.10,0.93
13009,37,0.15,0.93
13009,38,0.20,0.93
13009,39,0.25,0.93
13009,40,0.30,0.93
13009,41,0.35,0.93
13009,42,0.40,0.93
13009,43,0.45,0.93
13009,44,0.50,0.93
13009,45,0.10,0.95
13009,46,0.15,0.95
13009,47,0.20,0.95
13009,48,0.25,0.95
13009,49,0.30,0.95
13009,50,0.35,0.95
13009,51,0.40,0.95
13009,52,0.45,0.95
13009,53,0.50,0.95
13009,54,0.10,0.97
13009,55,0.15,0.97
13009,56,0.20,0.97
13009,57,0.25,0.97
13009,58,0.30,0.97
13009,59,0.35,0.97
13009,60,0.40,0.97
13009,61,0.45,0.97
13009,62,0.50,0.97
13009,63,0.10,0.99
13009,64,0.15,0.99
13009,65,0.20,0.99
13009,66,0.25,0.99
13009,67,0.30,0.99
13009,68,0.35,0.99
13009,69,0.40,0.99
13009,70,0.45,0.99
13009,71,0.50,0.99


####HY_1M records
13010,0,0.10,0.85
13010,1,0.15,0.85
13010,2,0.20,0.85
13010,3,0.25,0.85
13010,4,0.30,0.85
13010,5,0.35,0.85
13010,6,0.40,0.85
13010,7,0.45,0.85
13010,8,0.50,0.85
13010,9,0.10,0.87
13010,10,0.15,0.87
13010,11,0.20,0.87
13010,12,0.25,0.87
13010,13,0.30,0.87
13010,14,0.35,0.87
13010,15,0.40,0.87
13010,16,0.45,0.87
13010,17,0.50,0.87
13010,18,0.10,0.89
13010,19,0.15,0.89
13010,20,0.20,0.89
13010,21,0.25,0.89
13010,22,0.30,0.89
13010,23,0.35,0.89
13010,24,0.40,0.89
13010,25,0.45,0.89
13010,26,0.50,0.89
13010,27,0.10,0.91
13010,28,0.15,0.91
13010,29,0.20,0.91
13010,30,0.25,0.91
13010,31,0.30,0.91
13010,32,0.35,0.91
13010,33,0.40,0.91
13010,34,0.45,0.91
13010,35,0.50,0.91
13010,36,0.10,0.93
13010,37,0.15,0.93
13010,38,0.20,0.93
13010,39,0.25,0.93
13010,40,0.30,0.93
13010,41,0.35,0.93
13010,42,0.40,0.93
13010,43,0.45,0.93
13010,44,0.50,0.93
13010,45,0.10,0.95
13010,46,0.15,0.95
13010,47,0.20,0.95
13010,48,0.25,0.95
13010,49,0.30,0.95
13010,50,0.35,0.95
13010,51,0.40,0.95
13010,52,0.45,0.95
13010,53,0.50,0.95
13010,54,0.10,0.97
13010,55,0.15,0.97
13010,56,0.20,0.97
13010,57,0.25,0.97
13010,58,0.30,0.97
13010,59,0.35,0.97
13010,60,0.40,0.97
13010,61,0.45,0.97
13010,62,0.50,0.97
13010,63,0.10,0.99
13010,64,0.15,0.99
13010,65,0.20,0.99
13010,66,0.25,0.99
13010,67,0.30,0.99
13010,68,0.35,0.99
13010,69,0.40,0.99
13010,70,0.45,0.99
13010,71,0.50,0.99



